e66523e388284cd9b7dc5ec958de0a48,1,东善桥变电站
db032c309f0b41e889c709ef08b9cd16,0,1号主变
b189f2c0284647608e6a41355108e8ad,db032c309f0b41e889c709ef08b9cd16,500kV侧
72cbf492d5294ecbae87fe5604bd9ff5,b189f2c0284647608e6a41355108e8ad,5021电流互感器
ee2473777c634c6e97de132323ec97e6,72cbf492d5294ecbae87fe5604bd9ff5,A相
3e44e2b580c244a1af6256f9881ddd2a,72cbf492d5294ecbae87fe5604bd9ff5,B相
87503fa1507b442eb39e0d4da5a3d4aa,72cbf492d5294ecbae87fe5604bd9ff5,C相
cbe28e3525c84fda895ac885ef46ca6d,72cbf492d5294ecbae87fe5604bd9ff5,本体
284a4a29ee7249fb91c53634d4ab6fc4,b189f2c0284647608e6a41355108e8ad,50211刀闸
2294b9c85f8a42058cfb52471d0b1a35,284a4a29ee7249fb91c53634d4ab6fc4,A相
412a87f82bec459d93e4a363c1d31e53,284a4a29ee7249fb91c53634d4ab6fc4,B相
3065fa4d57b94829a22c15b27f2a9802,284a4a29ee7249fb91c53634d4ab6fc4,C相
f92fec454f4645668c894b2b94a4f1d5,b189f2c0284647608e6a41355108e8ad,50212刀闸
13a81b43f1f24c8f9e84cfdd317dbd3e,f92fec454f4645668c894b2b94a4f1d5,A相
6d9fc0001adf4e38976bf00f19872c0e,f92fec454f4645668c894b2b94a4f1d5,B相
ab2cc8e1c5124211a19a3c05da39e75e,f92fec454f4645668c894b2b94a4f1d5,C相
63a3777a4d9a4ad5a8a712f7f7cb12da,b189f2c0284647608e6a41355108e8ad,50216刀闸
c2cbf57868874f3fae227cb9459dff7a,63a3777a4d9a4ad5a8a712f7f7cb12da,A相
aaddf98c9cfc45cabea956e9fe131129,63a3777a4d9a4ad5a8a712f7f7cb12da,B相
0d1fc2e59f2e4d72b5e1d1f66ca63e7b,63a3777a4d9a4ad5a8a712f7f7cb12da,C相
6f4366fa7be243f3a18a2b4573706905,b189f2c0284647608e6a41355108e8ad,避雷器
b66c0e260ed84610b6d94e661699f464,6f4366fa7be243f3a18a2b4573706905,A相
